City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
319,vilyuysk,100,RU,1569398270,78,63.75,121.63,44.33,6.76
320,la rioja,0,AR,1569398270,54,-29.41,-66.86,51.53,0.69
321,trapani,0,IT,1569398237,61,38.02,12.54,78.01,8.05
322,torbay,90,CA,1569398270,93,47.66,-52.73,46.0,10.29
323,north bend,1,US,1569398149,87,43.41,-124.22,60.8,9.17
324,pelym,96,RU,1569398270,60,61.01,62.0,41.09,12.66
325,daru,67,PG,1569398270,86,-9.07,143.21,75.29,9.44
326,kavieng,86,PG,1569398270,73,-2.57,150.8,84.47,11.05
327,itoman,40,JP,1569398271,69,26.12,127.67,82.4,12.75
328,buluang,20,PH,1569398271,62,10.47,123.98,89.6,12.75
329,bolgar,100,RU,1569398271,75,54.97,49.03,42.8,8.95
330,pochutla,100,MX,1569398271,93,15.74,-96.47,62.51,2.84
331,at-bashi,0,KG,1569398271,89,41.17,75.81,55.0,14.09
332,ampanihy,79,MG,1569398271,56,-24.69,44.75,73.31,13.29
333,omaruru,5,NA,1569398271,5,-21.42,15.95,88.43,18.79
334,weihai,98,CN,1569398232,41,37.5,122.11,64.99,6.51
335,port blair,95,IN,1569398272,76,11.67,92.75,83.21,11.79
336,ust-omchug,0,RU,1569398272,79,61.13,149.63,20.39,11.25
337,bajil,26,ES,1569398272,67,38.23,-2.07,65.21,7.87
338,bilma,0,NE,1569398272,10,18.69,12.92,95.09,11.54
339,mayumba,100,GA,1569398272,89,-3.44,10.65,76.19,12.64
340,port augusta,67,AU,1569398272,42,-32.49,137.76,66.2,10.29
341,ambulu,100,ID,1569398272,88,-8.35,113.61,75.83,28.83
342,port hardy,40,CA,1569398273,93,50.7,-127.42,51.8,4.7
343,saint-prosper,100,CA,1569398273,96,46.21,-70.48,48.99,2.55
344,igarka,100,RU,1569398273,84,67.47,86.57,38.75,16.17
345,palm coast,1,US,1569398273,88,29.55,-81.22,73.0,3.04
346,hambantota,100,LK,1569398273,87,6.12,81.12,79.61,23.11
347,mehamn,75,NO,1569398273,81,71.03,27.85,42.8,26.4
348,auki,0,NG,1569398273,66,12.18,6.51,82.85,7.09
349,mount gambier,90,AU,1569398274,87,-37.83,140.78,55.4,8.05
350,bara,40,NG,1569398274,60,10.41,10.6,85.91,6.04
351,ambunti,40,PG,1569398274,94,-4.22,142.82,76.19,3.22
352,aykhal,90,RU,1569398274,56,65.95,111.51,44.6,4.47
353,marsh harbour,96,BS,1569398274,65,26.54,-77.06,78.17,3.67
354,ferrol,20,ES,1569398274,93,43.48,-8.23,63.0,5.82
355,abong mbang,100,CM,1569398274,82,3.98,13.18,73.85,4.21
356,puerto escondido,97,MX,1569398275,88,15.86,-97.07,73.67,3.83
357,brae,40,GB,1569398275,87,60.4,-1.35,55.4,23.04
358,samarai,84,PG,1569398275,94,-10.62,150.67,73.49,7.07
359,zhigansk,100,RU,1569398275,76,66.77,123.37,41.45,9.75
360,black river,20,JM,1569398275,78,18.03,-77.85,82.4,10.29
